name,description,context,country
#bbvipal4,7813.0,Trending,Albania
Putin,899000.0,Politics · Trending,Albania
China,515000.0,Politics · Trending,Albania
America,1380000.0,Politics · Trending,Albania
Zelensky,869000.0,Politics · Trending,Albania
القاهرة,36200.0,Trending,Algeria
دياز,12300.0,UEFA Champions League · Trending,Algeria
القضيه الفلسطينيه,7188.0,Trending,Algeria
فالفيردي,8656.0,UEFA Champions League · Trending,Algeria
سلاح المقاومه,4783.0,Trending,Algeria
محرز,8578.0,Trending,Algeria
ميندي,3418.0,UEFA Champions League · Trending,Algeria
الفاريز,7885.0,Trending,Algeria
السيسي,25500.0,Politics · Trending,Algeria
#WWERaw,53500.0,Wrestling · Trending,Algeria
سيميوني,4337.0,UEFA Champions League · Trending,Algeria
وزير الخارجيه,13700.0,Trending,Algeria
عباس,15100.0,Trending,Algeria
اتلتيكو,800000.0,UEFA Champions League · Trending,Algeria
البيان الختامي,3835.0,Trending,Algeria
Jennie,226000.0,K-pop · Trending,Algeria
رييس مجلس الوزراء,2195.0,Trending,Algeria
الكويت,23800.0,Trending,Algeria
فرنسا,5811.0,UEFA Champions League · Trending,Algeria
بنفيكا,786000.0,Football · Trending,Algeria
الرييس الجزايري,1715.0,Trending,Algeria
الشعب المصري,1630.0,Trending,Algeria
caire,1444.0,Trending,Algeria
ريال مدريد,851000.0,UEFA Champions League · Trending,Algeria
رونالدو,7685.0,Manchester United · Trending,Algeria
وزير الدوله,1731.0,Trending,Algeria
الموسم الثاني,2347.0,Trending,Algeria
تونس,3733.0,Trending,Algeria
Oscars,439000.0,Entertainment · Trending,Algeria
سلاح حماس,2628.0,Trending,Algeria
مودريتش,1611.0,UEFA Champions League · Trending,Algeria
السيد الرييس,2873.0,Trending,Algeria
اسرائيل,67600.0,Politics · Trending,Algeria
الضفه الغربيه,4852.0,Trending,Algeria
مجلس الامن,3417.0,Trending,Algeria
الدول العربيه,14300.0,Politics · Trending,Algeria
الشعوب العربيه,2142.0,Trending,Algeria
اليوم الثالث,16900.0,Trending,Algeria
كندا,4591.0,Trending,Algeria
#PresidentTrump,4598.0,Trending in Politics,Andorra
Democrats,1650000.0,Trending in Politics,Andorra
Al Green,174000.0,Trending in Political figures,Andorra
Dems,275000.0,Trending in Politics,Andorra
Pocahontas,58900.0,Trending in Political figures,Andorra
Nancy,125000.0,Trending in Political figures,Andorra
Social Security,166000.0,Trending in Politics,Andorra
God Bless America,37400.0,Trending in Politics,Andorra
Mike Johnson,46600.0,Trending in Politics,Andorra
Capitol,118000.0,Trending in Politics,Andorra
Rush,74600.0,Trending in Politics,Andorra
#PSVARS,19300.0,Trending in Football,Andorra
Mbappe,72700.0,Trending in Football,Andorra
#Arsenal,7193.0,Trending in Football,Andorra
Odegaard,22500.0,Trending in Football,Andorra
#bwfc,2433.0,Trending in Football,Andorra
Declan Rice,6985.0,Trending in Football,Andorra
Gunners,13500.0,Trending in Football,Andorra
Perisic,4928.0,Trending in Football,Andorra
Nwaneri,44600.0,Trending in Football,Andorra
Wayne Rooney,3016.0,Trending in Football,Andorra
Eindhoven,8399.0,Trending in Football,Andorra
Fede,46000.0,Trending in Football,Andorra
Trump,6090000.0,Politics · Trending,Angola
Ukraine,2250000.0,Politics · Trending,Angola
Democrats,1400000.0,Politics · Trending,AntiguaAndBarbuda
#StateOfTheUnion,95300.0,Politics · Trending,AntiguaAndBarbuda
Nancy,125000.0,Politics · Trending,AntiguaAndBarbuda
Secret Service,154000.0,Politics · Trending,AntiguaAndBarbuda
AMERICA IS BACK,80600.0,Politics · Trending,AntiguaAndBarbuda
Nicole Wallace,7329.0,Trending,AntiguaAndBarbuda
Slotkin,36000.0,Politics · Trending,AntiguaAndBarbuda
Iowa State,6061.0,Trending,AntiguaAndBarbuda
Jaxson Hayes,3152.0,NBA · Trending,AntiguaAndBarbuda
Zion,12200.0,NBA · Trending,AntiguaAndBarbuda
#jointsession,3227.0,Politics · Trending,AntiguaAndBarbuda
wonwoo,211000.0,Korean music · Trending,AntiguaAndBarbuda
#iubb,1548.0,Sports · Trending,AntiguaAndBarbuda
Love DOGE,5576.0,Trending,AntiguaAndBarbuda
Musk Steals,11100.0,Trending,AntiguaAndBarbuda
Heartless,24100.0,Politics · Trending,AntiguaAndBarbuda
Texas A&M,15600.0,Education · Trending,AntiguaAndBarbuda
Boebert,4865.0,Politics · Trending,AntiguaAndBarbuda
Abbey Gate,29200.0,Politics · Trending,AntiguaAndBarbuda
#TrumpSpeech,3776.0,Politics · Trending,AntiguaAndBarbuda
Golden Dome,3802.0,Politics · Trending,AntiguaAndBarbuda
Lesotho,6706.0,Politics · Trending,AntiguaAndBarbuda
Panama Canal,43700.0,Trending,AntiguaAndBarbuda
The Golden Age of America,17800.0,Politics · Trending,AntiguaAndBarbuda
Foggy,9919.0,Entertainment · Trending,AntiguaAndBarbuda
Geico,1988.0,Business and finance · Trending,AntiguaAndBarbuda
Keita,3555.0,Trending,AntiguaAndBarbuda
Pelicans,5016.0,NBA · Trending,AntiguaAndBarbuda
Disgraceful,47800.0,Politics · Trending,AntiguaAndBarbuda
Vile,63600.0,Trending,AntiguaAndBarbuda
Marc Fogel,6996.0,Politics · Trending,AntiguaAndBarbuda
Brain Cancer,146000.0,Politics · Trending,AntiguaAndBarbuda
Approve,39900.0,Politics · Trending,AntiguaAndBarbuda
Canadians,231000.0,Politics · Trending,AntiguaAndBarbuda
Ghetto,25200.0,Trending,AntiguaAndBarbuda
